,item_id,genero,titulo,playtime_forever,Indie,Simulation,Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy,Early Access,Utilities,Racing,Sports
27742,4000,"['Indie', 'Simulation']",Garry's Mod,642773,1,1,0,0,0,0,0,0,0,0,0,0,0
841363,212200,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Simulation']",Mabinogi,635295,0,1,1,1,1,1,1,1,0,0,0,0,0
3422625,8500,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Strategy']",EVE Online,530882,0,0,1,0,0,1,1,1,1,0,0,0,0
3914660,320,['Action'],Half-Life 2: Deathmatch,493791,0,0,1,0,0,0,0,0,0,0,0,0,0
3898581,240,['Action'],Counter-Strike: Source,479117,0,0,1,0,0,0,0,0,0,0,0,0,0
3209940,47410,"['Free to Play', 'Massively Multiplayer', 'Strategy']",Stronghold Kingdoms,439912,0,0,0,0,0,1,1,0,1,0,0,0,0
410847,8930,['Strategy'],Sid Meier's Civilization® V,425437,0,0,0,0,0,0,0,0,1,0,0,0,0
632525,113400,"['Action', 'Free to Play', 'Massively Multiplayer']",APB Reloaded,408492,0,0,1,0,0,1,1,0,0,0,0,0,0
2752164,230410,"['Action', 'Free to Play']",Warframe,406717,0,0,1,0,0,1,0,0,0,0,0,0,0
739441,730,['Action'],Counter-Strike: Global Offensive,376267,0,0,1,0,0,0,0,0,0,0,0,0,0
3665069,1250,['Action'],Killing Floor,366892,0,0,1,0,0,0,0,0,0,0,0,0,0
502262,39120,"['Free to Play', 'Massively Multiplayer', 'RPG']",RIFT,363147,0,0,0,0,0,1,1,1,0,0,0,0,0
4008844,10,['Action'],Counter-Strike,356217,0,0,1,0,0,0,0,0,0,0,0,0,0
1294067,346900,"['Casual', 'Free to Play', 'Indie']",AdVenture Capitalist,342885,1,0,0,0,1,1,0,0,0,0,0,0,0
3556830,550,['Action'],Left 4 Dead 2,342805,0,0,1,0,0,0,0,0,0,0,0,0,0
2442924,39210,"['Massively Multiplayer', 'RPG']",FINAL FANTASY XIV Online,338572,0,0,0,0,0,0,1,1,0,0,0,0,0
2283856,268420,"['Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Aura Kingdom,337453,0,0,0,1,1,1,1,1,0,0,0,0,0
1337928,363970,"['Adventure', 'Casual', 'Free to Play', 'Indie', 'RPG', 'Simulation', 'Strategy']",Clicker Heroes,333482,1,1,0,1,1,1,0,1,1,0,0,0,0
3225505,201230,"['Free to Play', 'Massively Multiplayer', 'RPG']",EverQuest® II Free-To-Play. Your Way.™,328984,0,0,0,0,0,1,1,1,0,0,0,0,0
353544,48700,"['Action', 'RPG']",Mount &amp; Blade: Warband,312547,0,0,1,0,0,0,0,1,0,0,0,0,0
2634857,236850,"['Simulation', 'Strategy']",Europa Universalis IV,308612,0,1,0,0,0,0,0,0,1,0,0,0,0
2501200,252490,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Rust,299191,1,0,1,1,0,0,1,1,0,1,0,0,0
2588903,107410,"['Action', 'Simulation', 'Strategy']",Arma 3,290153,0,1,1,0,0,0,0,0,1,0,0,0,0
2913669,218230,"['Action', 'Free to Play', 'Massively Multiplayer']",PlanetSide 2,285863,0,0,1,0,0,1,1,0,0,0,0,0,0
658806,203770,"['RPG', 'Simulation', 'Strategy']",Crusader Kings II,274817,0,1,0,0,0,0,0,1,1,0,0,0,0
1237461,326160,"['Massively Multiplayer', 'RPG', 'Early Access']",Shroud of the Avatar: Forsaken Virtues,271857,0,0,0,0,0,0,1,1,0,1,0,0,0
1325867,323370,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",TERA,271109,0,0,1,1,0,1,1,1,0,0,0,0,0
1895420,402840,"['Casual', 'Free to Play', 'Indie']",Crusaders of the Lost Idols,260155,1,0,0,0,1,1,0,0,0,0,0,0,0
1377394,293260,"['Free to Play', 'RPG', 'Strategy']",Card Hunter,260028,0,0,0,0,0,1,0,1,1,0,0,0,0
2278285,237310,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Massively Multiplayer', 'RPG']",Elsword,256539,0,0,1,1,1,1,1,1,0,0,0,0,0
3359116,105600,"['Action', 'Adventure', 'Indie', 'RPG']",Terraria,242217,1,0,1,1,0,0,0,1,0,0,0,0,0
2520760,234330,"['Casual', 'Free to Play', 'RPG']",Marvel Puzzle Quest,242157,0,0,0,0,1,1,0,1,0,0,0,0,0
3068563,211420,"['Action', 'RPG']",DARK SOULS™: Prepare To Die™ Edition,234650,0,0,1,0,0,0,0,1,0,0,0,0,0
3987579,2100,"['Action', 'RPG']",Dark Messiah of Might &amp; Magic,234508,0,0,1,0,0,0,0,1,0,0,0,0,0
3478820,34030,['Strategy'],Napoleon: Total War™,231595,0,0,0,0,0,0,0,0,1,0,0,0,0
2022650,220200,"['Indie', 'Simulation']",Kerbal Space Program,230856,1,1,0,0,0,0,0,0,0,0,0,0,0
557003,9880,"['Free to Play', 'Massively Multiplayer', 'RPG']",Champions Online,222547,0,0,0,0,0,1,1,1,0,0,0,0,0
